avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0.09,75.56,11684.46,2186.331,2185.2926,857029.12,2020-12-01T12:25:25.548+09:00
2439,0.09,75.76,11716.48,2185.4106,2183.9386,856864.88,2020-12-01T12:30:44.747+09:00
2439,0.26,75.18,11687.52,2174.4078,2172.7302,850395.4,2020-12-01T12:35:35.497+09:00
2439,0.14,75.3,11692.72,2178.0966,2173.204,850165.24,2020-12-01T12:40:26.428+09:00
2439,0.07,75.38,11715.18,2180.9906,2176.539,849849.16,2020-12-01T12:45:47.269+09:00
2439,0.12,75.54,11748.72,2179.7688,2176.1434,850067.06,2020-12-01T12:50:38.247+09:00
2439,0.16,75.5,11741.76,2178.9652,2177.3446,849996.78,2020-12-01T12:55:27.150+09:00
2439,0.07,76.16,11742.06,2175.5232,2178.3458,850349.06,2020-12-01T13:00:49.109+09:00
2439,0.06,76.16,11758.04,2178.1406,2181.455,850078.42,2020-12-01T13:05:39.020+09:00
2439,0.1,75.82,11809.22,2177.7684,2184.9534,857259.74,2020-12-01T13:15:19.800+09:00
2439,0.07,75.68,11808.48,2177.6854,2187.2418,857439.5,2020-12-01T13:20:41.042+09:00
2439,0.05,75.98,11812.38,2179.2286,2187.086,857567.1,2020-12-01T13:25:31.538+09:00
2439,0.05,75.86,11809.48,2174.3434,2182.3732,857859.66,2020-12-01T13:35:39.788+09:00
2439,0.1,76.48,11838.4,2175.3668,2185.537,857574.24,2020-12-01T13:40:28.011+09:00
2439,0.07,77.04,11860.02,2180.9452,2188.146,850095.04,2020-12-01T13:45:48.300+09:00
2439,0.07,77.76,11863.52,2178.2836,2186.4892,850244.78,2020-12-01T13:50:39.177+09:00
2439,0.13,77.54,11859.26,2171.8982,2177.8768,850510.4,2020-12-01T13:55:30.253+09:00
2439,0.05,78.84,11886.66,2174.2466,2177.3982,850316.74,2020-12-01T14:00:23.502+09:00
2439,0.09,77.9,11888.06,2174.9052,2179.6308,850622,2020-12-01T14:05:45.014+09:00
2439,0.11,76.8,11928,2180.2076,2186.2248,857482.4,2020-12-01T14:10:35.843+09:00
2439,0.07,76.88,11960.88,2180.132,2186.7406,857450.88,2020-12-01T14:15:25.318+09:00
2439,0.1,76.78,11985.08,2184.2602,2192.9078,856962.24,2020-12-01T14:20:44.847+09:00
2439,0.05,76.38,11979.76,2178.4582,2182.87,857138.02,2020-12-01T14:25:34.813+09:00
