avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,Processing_time
2439,0,61,11051,2193.1806,2223.9556,855067.58,2020-12-01T23:30:47.520+09:00
2439,0.09,64,11636,2194.1552,2226.6878,855172.64,2020-12-01T23:35:38.119+09:00
2439,0.1,80,11499,2198.946,2230.9948,848251.96,2020-12-01T23:45:46.971+09:00
2439,0.07,61,13082,2195.2686,2224.6338,848751.96,2020-12-01T23:50:36.147+09:00
2439,0.09,61,11782,2192.874,2222.5406,848901.9,2020-12-01T23:55:25.420+09:00
2439,0.09,72,13061,2188.6218,2219.1904,849052.94,2020-12-02T00:00:43.909+09:00
2439,0.06,118,10188,2190.282,2219.4098,848899.9,2020-12-02T00:05:33.328+09:00
2439,0.1,61,11754,2192.853,2229.486,855763.74,2020-12-02T00:10:22.663+09:00
2439,0.11,100,10516,2199.8968,2236.3468,855362.78,2020-12-02T00:15:42.869+09:00
2439,0.11,92,11636,2204.3822,2242.1744,855133.66,2020-12-02T00:20:31.632+09:00
2439,0.09,91,12911,2200.0502,2236.4128,855430.3,2020-12-02T00:25:21.081+09:00
2439,0,69,11816,2197.4568,2232.4734,855715.5,2020-12-02T00:30:39.740+09:00
2439,0.27,94,11636,2197.838,2231.866,855688.76,2020-12-02T00:35:28.795+09:00
2439,0.1,96,12205,2203.4098,2238.8596,848476.94,2020-12-02T00:40:48.377+09:00
2439,0.43,98,11800,2198.3488,2230.6398,848607.8,2020-12-02T00:50:27.188+09:00
2439,0.1,64,12026,2196.5508,2223.8022,848761.42,2020-12-02T00:55:45.124+09:00
2439,0.07,70,10604,2198.9322,2224.6018,848702.7,2020-12-02T01:00:33.576+09:00
2439,0,61,13084,2197.65,2225.247,848466.8,2020-12-02T01:05:22.798+09:00
2439,0.1,60,11556,2199.0748,2224.441,855251.44,2020-12-02T01:11:41.103+09:00
2439,0.07,66,11585,2198.4252,2223.5612,855286.3,2020-12-02T01:15:29.682+09:00
2439,0.05,59,10690,2199.5712,2225.0888,855237.68,2020-12-02T01:20:19.006+09:00
2439,0.08,65,12034,2194.4984,2219.8812,855495.24,2020-12-02T01:25:36.923+09:00
2439,0.1,61,11095,2197.589,2219.0642,855311.38,2020-12-02T01:30:27.324+09:00
2439,0.05,61,11696,2196.1786,2217.6542,855436.26,2020-12-02T01:35:47.364+09:00
2439,0,94,11636,2198.4938,2223.8372,855246.68,2020-12-02T01:40:36.582+09:00
2439,0.15,102,11292,2201.5928,2227.2012,848083.16,2020-12-02T01:45:26.270+09:00
2439,0.22,95,11636,2199.364,2224.6256,848030.5,2020-12-02T01:50:46.475+09:00
2439,0.07,60,12009,2195.2386,2220.906,848382,2020-12-02T01:55:34.307+09:00
