min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
501,502,501,0.52,89,494,185.33,164.68,1112,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.38,77,102,98.43,9.45,689,2099.747,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,494,185.33,164.68,1112,0.376,2021-12-20T15:43:32.983+09:00
501,502,502,0.58,89,649,231,278.67,924,54606.343,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,77,102,93.67,14.43,281,899.75,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,468,185.5,157.9,1113,0.377,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,497,185.83,165.81,1115,0.377,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
501,502,501,0.5,77,102,95.75,12.5,383,1499.313,2021-12-20T15:43:32.983+09:00
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.194,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.193,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.193,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.45,89,647,202.2,248.66,1011,0.371,2021-12-20T15:43:32.983+09:00
501,502,502,0.58,89,649,231,278.67,924,232192.502,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,648,362.5,403.76,725,244644.96,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,77,102,97.83,10.21,587,1799.749,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,496,185.67,165.43,1114,0.376,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,279,435613.983,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.192,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,186,435599.265,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,186,435600.127,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,1296,232176.48,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,186,722410.019,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.193,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,648,370.5,392.44,741,54609.62,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,77,77,0,77,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,77,77,0,77,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,77,77,0,77,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.377,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.377,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.196,2021-12-20T15:43:32.983+09:00
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
501,501,501,0,102,102,102,0,204,600.074,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,93,85,11.31,170,273159.474,2021-12-20T15:43:32.983+09:00
501,502,501,0.52,89,93,91.67,2.07,550,667799.684,2021-12-20T15:43:32.983+09:00
501,502,501,0.45,89,649,202.6,249.55,1013,0.372,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,648,362.5,403.76,725,273146.023,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.19,2021-12-20T15:43:32.983+09:00
501,502,501,0.55,77,102,90.8,9.07,454,367326.38,2021-12-20T15:43:32.983+09:00
501,502,501,0.45,89,648,202.4,249.11,1012,0.372,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.194,2021-12-20T15:43:32.983+09:00
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,652,652,652,0,652,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,93,93,93,0,93,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,653,653,653,0,653,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,77,77,77,0,77,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,492,185,163.93,1110,0.377,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.194,2021-12-20T15:43:32.983+09:00
502,502,502,0,645,645,645,0,645,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.195,2021-12-20T15:43:32.983+09:00
502,502,502,0,649,649,649,0,649,0,2021-12-20T15:43:32.983+09:00
502,502,502,0,648,648,648,0,648,0,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,468,185.5,157.9,1113,0.377,2021-12-20T15:43:32.983+09:00
501,502,501,0.41,89,495,185.5,165.06,1113,0.376,2021-12-20T15:43:32.983+09:00
501,502,501,0.58,89,93,91.67,2.31,275,0.193,2021-12-20T15:43:32.983+09:00
