min_tcp_window_size,max_tcp_window_size,avg_tcp_window_size,std_dev_tcp_window_size,min_data_bytes,max_data_bytes,avg_databytes,std_dev_databytes,total_data_bytes,flow_duration,Processing_time
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.408,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,487,184.17,162.06,1105,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,279,254,17.98,77,102,98.43,9.45,689,1799.194,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,186,196790.034,2021-12-14T15:59:11.583+09:00
229,262,245,13.13,77,102,97,11.18,485,1799.458,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,464,185.17,156.72,1111,0.398,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,646,202,248.21,1010,0.406,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,93,85,11.31,170,412898.061,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,496,185.67,165.43,1114,0.404,2021-12-14T15:59:11.583+09:00
229,355,279,54.64,77,494,161.38,146.23,1291,103102.057,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,464,185.17,156.72,1111,0.411,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,646,202,248.21,1010,0.406,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,312,270,27.71,77,102,99.73,7.54,1097,3599.003,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.407,2021-12-14T15:59:11.583+09:00
229,355,285,56.06,89,493,172,153.98,1204,253199.875,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,646,202,248.21,1010,0.407,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.412,2021-12-14T15:59:11.583+09:00
229,355,285,56.06,89,464,172,147.24,1204,666598.896,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,496,185.67,165.43,1114,0.411,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.41,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,354,294,54.58,89,494,185.33,164.68,1112,0.417,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,293,56.81,89,464,185.17,156.72,1111,0.417,2021-12-14T15:59:11.583+09:00
229,373,294,60.78,89,647,202.2,248.66,1011,0.409,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,186,75584.256,2021-12-14T15:59:11.583+09:00
229,355,295,51.73,89,494,185.22,152.12,3334,672599.982,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,237,233,5.66,77,102,89.5,17.68,179,598.579,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,186,151784.79,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
262,270,266,5.66,102,102,102,0,204,300,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,649,202.6,249.55,1013,0.408,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.41,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.409,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.412,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,468,185.83,158.14,1115,0.408,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,646,202,248.21,1010,0.406,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.402,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.407,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,489,184.5,162.81,1107,0.411,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.408,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,464,185.17,156.72,1111,0.407,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,494,185.33,164.68,1112,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.405,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,646,202,248.21,1010,0.407,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,52.51,89,494,185.33,157.02,2224,6598.741,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.409,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.411,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,283,51.95,89,644,201.6,247.32,1008,0.407,2021-12-14T15:59:11.583+09:00
229,355,285,56.06,89,497,172.57,155.37,1208,415790.785,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,493,185.17,164.31,1111,0.409,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,237,233,5.66,77,102,89.5,17.68,179,599.67,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
229,355,295,55.07,89,491,184.83,163.56,1109,0.405,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,77,77,77,0,77,0,2021-12-14T15:59:11.583+09:00
229,229,229,0,93,93,93,0,93,0,2021-12-14T15:59:11.583+09:00
